name,ocupation,url
Buildcon,Software de Colaboração – Outros,http://buildcon.org
BuildingConnected,Software de Colaboração – Outros,http://buildingconnected.com
Pantera Global Technology,Software de Colaboração – Outros,http://panteratools.com
ALICE Technologies,Software de Colaboração – Outros,http://alicetechnologies.com
BusyBusy,Software de Colaboração – Outros,http://busybusy.com
Fibo,Software de Colaboração – Outros,http://fiboapp.com
CINX,Software de Colaboração – Outros,http://cinx.com
Drawboard,Software de Colaboração – Outros,http://drawboard.com
Cloud Takeoff,Software de Colaboração – Outros,http://cloudtakeoff.com
Bouw7,Software de Colaboração – Gerenciamento de projetos,http://bouw7.nl
Bridgit,Software de Colaboração – Gerenciamento de projetos,http://bridgitsolutions.com
BuilderTREND Solutions,Software de Colaboração – Gerenciamento de projetos,http://buildertrend.com
BuildUp Technologies,Software de Colaboração – Gerenciamento de projetos,http://buildup.co
BulldozAIR,Software de Colaboração – Gerenciamento de projetos,http://bulldozair.com
Construct,Software de Colaboração – Gerenciamento de projetos,null
EIDA Solutions,Software de Colaboração – Gerenciamento de projetos,http://eidasolutions.com
eSUB Construction Software,Software de Colaboração – Gerenciamento de projetos,http://esub.com
Falcon Brick,Software de Colaboração – Gerenciamento de projetos,http://falconbrick.com
Leansite,Software de Colaboração – Gerenciamento de projetos,http://leansiteapp.com
Fieldly,Software de Colaboração – Gerenciamento de projetos,http://fieldly.com
Fieldwire,Software de Colaboração – Gerenciamento de projetos,http://fieldwire.com
GenieBelt,Software de Colaboração – Gerenciamento de projetos,http://geniebelt.com
Ipsum,Software de Colaboração – Gerenciamento de projetos,http://ipsumapp.co
Newforma,Software de Colaboração – Gerenciamento de projetos,http://newforma.com
NoteVault,Software de Colaboração – Gerenciamento de projetos,http://notevault.com
PlanGrid,Software de Colaboração – Gerenciamento de projetos,http://plangrid.com
think project! International,Software de Colaboração – Gerenciamento de projetos,http://thinkproject.com
Procore Technologies,Software de Colaboração – Gerenciamento de projetos,http://procore.com
Blue Ronin (dba Basestone),Dados e análise,http://basestone.io
Rhumbix,Dados e análise,http://rhumbix.com
Vernox Labs,Dados e análise,http://vernoxlabs.com
